City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Trairi,BR,-3.2778,-39.2689,79.21,83,85,7.81,overcast clouds
80,Sayyan,YE,15.1718,44.3244,50.25,45,76,2.51,broken clouds
81,Markapur,IN,15.7333,79.2833,63.37,80,42,1.36,scattered clouds
82,Lasa,IT,46.6166,10.7002,10.4,85,0,9.22,clear sky
83,Saldanha,ZA,-33.0117,17.9442,62.6,88,0,4.61,clear sky
84,Mahebourg,MU,-20.4081,57.7,78.8,83,40,10.36,scattered clouds
85,Nikolskoye,RU,59.7035,30.7861,1.99,77,75,4.47,light snow
86,Hamilton,US,39.1834,-84.5333,27.0,68,90,10.36,overcast clouds
87,Georgetown,MY,5.4112,100.3354,81.0,88,20,2.3,few clouds
88,Marystown,CA,47.1666,-55.1483,27.95,92,1,21.43,clear sky
89,New Norfolk,AU,-42.7826,147.0587,70.0,46,99,3.0,overcast clouds
90,Teya,RU,60.3778,92.6267,-19.07,84,100,3.6,overcast clouds
91,Yulara,AU,-25.2406,130.9889,66.2,72,90,20.71,overcast clouds
92,Avarua,CK,-21.2078,-159.775,86.0,70,75,4.61,light rain
93,Bomet,KE,-0.7813,35.3416,58.44,95,100,2.21,moderate rain
94,Geraldton,AU,-28.7667,114.6,89.6,27,100,12.66,overcast clouds
95,Ayan,RU,56.45,138.1667,15.62,95,100,7.78,overcast clouds
96,Kongoussi,BF,13.3258,-1.5347,74.23,17,0,7.47,clear sky
97,Kruisfontein,ZA,-34.0033,24.7314,73.99,91,100,1.01,overcast clouds
98,Whitehorse,CA,60.7161,-135.0538,-4.0,65,1,4.63,clear sky
99,Olavarria,AR,-36.8927,-60.3225,69.01,95,52,7.0,broken clouds
100,Mogadishu,SO,2.0371,45.3438,75.52,82,16,18.03,few clouds
101,Ekibastuz,KZ,51.6667,75.3667,-3.35,91,49,6.67,scattered clouds
102,Fortuna,US,40.5982,-124.1573,53.01,94,100,4.29,overcast clouds
103,Belousovka,KZ,50.1339,82.5239,-18.4,76,20,1.5,mist
104,Mwinilunga,ZM,-11.7358,24.4293,61.72,96,95,3.87,overcast clouds
105,Iqaluit,CA,63.7506,-68.5145,-7.6,71,20,11.5,few clouds
106,Puerto Ayora,EC,-0.7393,-90.3518,75.99,96,77,3.0,light rain
107,Esperance,AU,-33.8667,121.9,64.4,72,0,8.05,clear sky
108,Katsuura,JP,35.1333,140.3,54.0,61,20,5.75,few clouds
109,Cidreira,BR,-30.1811,-50.2056,74.95,81,100,16.51,overcast clouds
110,Toba,JP,34.4833,136.85,54.0,79,97,1.01,overcast clouds
111,Coihaique,CL,-45.5752,-72.0662,68.0,40,0,5.75,clear sky
112,Tiksi,RU,71.6872,128.8694,-10.82,91,28,2.55,scattered clouds
113,Halifax,CA,44.6453,-63.5724,26.6,74,72,5.75,broken clouds
114,Reno,US,39.5296,-119.8138,50.0,46,75,13.8,broken clouds
115,Itapirapua,BR,-15.8233,-50.6133,72.19,94,100,3.29,light rain
116,Sarkand,KZ,45.41,79.9186,25.36,84,100,0.83,overcast clouds
117,Touros,BR,-5.1989,-35.4608,80.6,74,20,8.05,few clouds
118,Kashi,CN,39.4547,75.9797,39.2,33,0,8.95,clear sky
119,Kavieng,PG,-2.5744,150.7967,84.25,74,3,8.52,light rain
120,Havelock,US,34.8791,-76.9013,41.0,100,90,11.5,mist
121,Bayan,CN,46.0833,127.4,19.74,95,93,2.21,overcast clouds
122,Padang,ID,-0.9492,100.3543,75.2,94,20,2.3,few clouds
123,Port-Cartier,CA,50.0334,-66.8654,19.4,58,90,4.61,overcast clouds
124,Paratinga,BR,-12.6906,-43.1842,76.1,65,100,6.04,overcast clouds
