City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Perdoes,BR,2021-02-07 01:54:12,-21.0908,-45.0914,66.34,92,3,3.09
68,Bredasdorp,ZA,2021-02-07 01:54:12,-34.5322,20.0403,66.2,88,98,3.44
69,Alofi,NU,2021-02-07 01:54:13,-19.0595,-169.9187,86.0,70,100,12.66
70,Soma,TR,2021-02-07 01:54:13,39.1855,27.6094,42.8,100,0,1.14
71,Los Llanos De Aridane,ES,2021-02-07 01:54:13,28.6585,-17.9182,59.0,72,0,5.75
72,Padang,ID,2021-02-07 01:54:13,-0.9492,100.3543,82.4,69,20,2.3
73,Rio Gallegos,AR,2021-02-07 01:51:22,-51.6226,-69.2181,55.4,58,0,3.44
74,Norman Wells,CA,2021-02-07 01:54:14,65.282,-126.8329,-27.4,68,75,2.3
75,Bethel,US,2021-02-07 01:54:14,41.3712,-73.414,35.01,59,1,4.74
76,Bendigo,AU,2021-02-07 01:54:14,-36.7667,144.2833,69.01,53,42,7.56
77,Kampot,KH,2021-02-07 01:54:15,10.6167,104.1833,75.2,94,40,1.14
78,Luanda,AO,2021-02-07 01:54:15,-8.8368,13.2343,78.8,83,75,4.61
79,Mende,FR,2021-02-07 01:54:15,44.6667,3.5,35.85,100,100,9.89
80,Hermanus,ZA,2021-02-07 01:52:23,-34.4187,19.2345,66.99,94,98,4.76
81,Vila Velha,BR,2021-02-07 01:52:26,-20.3297,-40.2925,82.99,83,75,9.22
82,Oussouye,SN,2021-02-07 01:54:16,12.485,-16.5469,66.2,68,0,6.91
83,Raudeberg,NO,2021-02-07 01:54:16,61.9875,5.1352,24.01,68,0,8.05
84,Ashtabula,US,2021-02-07 01:54:16,41.7001,-80.7665,17.6,53,1,4.27
85,Yumen,CN,2021-02-07 01:54:16,40.2833,97.2,32.0,65,100,4.41
86,Saldanha,ZA,2021-02-07 01:50:47,-33.0117,17.9442,64.4,88,0,6.91
87,Sinjar,IQ,2021-02-07 01:54:17,36.3209,41.8754,47.44,52,0,4.29
88,Isangel,VU,2021-02-07 01:52:54,-19.55,169.2667,86.0,79,20,5.75
89,Darnah,LY,2021-02-07 01:54:17,32.767,22.6367,62.2,48,13,16.53
