City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
202,Neuquen,AR,82.4,clear sky,-38.9516,-68.0591,Hotel del Comahue
205,Laje,BR,72.57,clear sky,-10.1833,-40.9667,Pousada Centro
207,Itarema,BR,80.02,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
208,Envira,BR,73.89,overcast clouds,-7.3,-70.2167,
211,Chincha Alta,PE,73.4,clear sky,-13.4099,-76.1323,Casa Andina Standard Chincha
213,Namibe,AO,73.27,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
217,Thinadhoo,MV,82.45,overcast clouds,0.5333,72.9333,
218,Atuona,PF,79.14,clear sky,-9.8,-139.0333,Villa Enata
222,Dubbo,AU,73.4,overcast clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
226,Kavaratti,IN,80.53,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
228,Camocim,BR,79.36,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
229,Campos,BR,76.15,heavy intensity rain,-21.75,-41.3,Palace Hotel - Campos dos Goytacazes
230,Ambilobe,MG,73.22,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
231,Tual,ID,84.22,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
236,Tabou,CI,78.62,clear sky,4.423,-7.3528,hotêl doufoulougou
240,Ruteng,ID,72.3,overcast clouds,-8.6136,120.4721,Hotel FX72 Ruteng
244,Dunkwa,GH,76.53,clear sky,5.9656,-1.78,Tim Freeman Gold City Hotel
246,Majene,ID,79.88,moderate rain,-3.5403,118.9707,Kost Putri RABBANI
247,Mataram,ID,82.4,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
248,Nakatunguru,TZ,72.57,overcast clouds,-2.1167,33.0667,Monarch Beach Hotel
249,Pilar,BR,75.2,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
250,Rio Grande,BR,70.0,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
255,Manggar,ID,81.41,broken clouds,-2.8833,108.2667,Guest Hotel
261,Dapaong,TG,75.27,clear sky,10.8639,0.205,Hotel Caroli
267,Point Pedro,LK,75.49,scattered clouds,9.8167,80.2333,Gtr homes
268,Guatire,VE,75.2,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
273,Cozumel,MX,78.01,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
275,Marawi,PH,82.99,few clouds,7.9986,124.2928,Derogongan Residence
276,Chigorodo,CO,76.12,overcast clouds,7.6664,-76.6811,Hotel Las Guaduas Del Darien
279,Numan,NG,71.74,overcast clouds,9.4667,12.0333,Zangun Motel
285,Minuri,PH,71.83,overcast clouds,16.535,121.8574,
286,Kiunga,PG,74.3,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
288,Mandurah,AU,75.99,clear sky,-32.55,115.7,Atrium Hotel Mandurah
291,Malakal,SS,74.08,clear sky,9.5334,31.6605,Nile Palace Hotel
296,Biak,ID,77.68,moderate rain,-0.9131,122.8766,Penginapan Kim
297,Ahipara,NZ,72.72,clear sky,-35.1667,173.1667,Ahipara Holiday Park
298,Cravo Norte,CO,85.26,scattered clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
299,Dhidhdhoo,MV,79.83,overcast clouds,6.8833,73.1,Dhidhoo beach
300,Viedma,AR,71.01,overcast clouds,-40.8135,-62.9967,Hotel Cristal
302,Parakou,BJ,73.94,clear sky,9.3372,2.6303,Benin Metropole Hotel
306,Hithadhoo,MV,82.24,overcast clouds,-0.6,73.0833,Scoop Guest House
309,Moratuwa,LK,73.4,clear sky,6.773,79.8816,Sa Mansion By Yoho
311,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
312,Beloha,MG,75.69,overcast clouds,-25.1667,45.05,
313,Airai,TL,71.15,heavy intensity rain,-8.9266,125.4092,Juvinal Martin
315,Tsogni,GA,78.06,light rain,-2.7942,10.0988,
329,Noumea,NC,87.8,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
330,Celestun,MX,75.78,clear sky,20.8667,-90.4,Posada Lilia
333,Yara,CU,75.09,clear sky,20.2753,-76.9533,Casa de Margarita Puebla Lorente
340,Sertania,BR,74.5,few clouds,-8.0736,-37.2644,Hotel Esperança
341,Ngunguru,NZ,77.0,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
342,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
344,Araceli,PH,80.51,clear sky,10.5529,119.9913,JBryan Traveler's Inn
345,Wattegama,LK,71.6,clear sky,6.7989,81.4808,
346,Kisarawe,TZ,75.72,overcast clouds,-6.9,39.0667,Lenga Guest House
351,Waingapu,ID,82.94,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
352,Youkounkoun,GN,79.65,clear sky,12.5333,-13.1333,
355,Mimongo,GA,70.61,broken clouds,-1.6195,11.6068,
357,Harper,LR,79.2,clear sky,4.375,-7.7169,Screensaver
361,Bouna,CI,76.96,clear sky,9.2667,-3.0,Hotel Reserve
365,Bambanglipuro,ID,79.95,scattered clouds,-7.95,110.2833,Puri Brata
373,Pandan Niog,PH,82.11,overcast clouds,6.2282,120.5631,
374,Port Blair,IN,78.69,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
378,Kawalu,ID,77.97,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
384,Bandarbeyla,SO,71.98,overcast clouds,9.4942,50.8122,JABIR HOTEL
387,Toamasina,MG,73.4,light rain,-18.1667,49.3833,Hotel H1
388,Narrabri,AU,80.6,light rain,-30.3167,149.7833,Crossroads Hotel
389,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
391,Bahia Blanca,AR,75.15,overcast clouds,-38.7196,-62.2724,Hotel Argos
392,Arawa,PG,87.03,light rain,-6.2132,155.5367,Coastline Guest House
394,Rio De Janeiro,BR,80.6,light rain,-22.9028,-43.2075,Windsor Guanabara Hotel
396,Acarau,BR,80.02,overcast clouds,-2.8856,-40.12,castelo pizzaria
397,Takoradi,GH,80.44,clear sky,4.8845,-1.7554,Raybow International Hotel
400,Mayumba,GA,79.41,light rain,-3.432,10.6554,LIKWALE LODGE
406,Namatanai,PG,86.2,light rain,-3.6667,152.4333,Namatanai Hotel
407,Lufilufi,WS,83.52,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
409,Ewa Beach,US,80.6,clear sky,21.3156,-158.0072,Base Lodging
410,San Andres,CO,80.6,few clouds,12.5847,-81.7006,Hotel Arena Blanca
412,Dingle,PH,81.82,light rain,10.9995,122.6711,SEGAYA PROPERTY
413,Hobyo,SO,74.79,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
415,Santa Cruz,BO,71.6,scattered clouds,-17.8,-63.1667,Hotel Cortez
417,Rio Claro,BR,73.4,moderate rain,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
418,Moron,AR,73.99,moderate rain,-34.6534,-58.6198,Hotel Morón
420,Iranduba,BR,75.2,light rain,-3.2847,-60.1861,Evolução Ecolodge
422,Sao Filipe,CV,72.5,clear sky,14.8961,-24.4956,Tortuga B&B
423,Correntina,BR,71.13,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
426,Auki,SB,77.86,moderate rain,-8.7676,160.7034,Auki Motel
427,Pundaguitan,PH,80.55,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
430,Quatre Cocos,MU,78.8,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
432,Kirakira,SB,82.67,overcast clouds,-10.4544,161.9205,SanBiz Lodge
435,Pallisa,UG,71.94,overcast clouds,1.145,33.7094,RNM HOTEL
441,Muisne,EC,77.58,overcast clouds,0.6,-80.0333,Quinta Samay
442,Inirida,CO,75.33,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
444,Benjamin Hill,MX,70.0,clear sky,30.1667,-111.1,Luis Guillermo García Medina
